,title,publisher,date,isbn,Authors,category
316,Von Füger bis Klimt. die Malerei des XIX. Jahrhunderts in Meisterwerken aus Wiener Privatbesitz,,1923,PRNC:32101066450899,Franz Ottmann,Klimt
117,"De Kooning, 1935-1953. ",,1953,OCLC:80699819,Willem De Kooning,De Kooning
156,Willem de Kooning. ,,1959,UOM:39015015683421,Thomas B. Hess,De Kooning
154,"Willem de Kooning. - New York: Braziller 1959. 32 S., 40 Bl. Abb., S. 113-128. 4°. ",,1959,UVA:X001533734,Thomas B. Hess,De Kooning
145,De Kooning. ,,1960,UOM:39015027877201,"Harriet Grossman Janis, Rudi Blesh",De Kooning
138,"Gustav Klimt [Milaan, 1962].. ",,1962,OCLC:920744417,,Klimt
151,The American Critics of Pollock and De Kooning. ,,1962,UFL:31262046285739,Charles Frank Thompson,De Kooning
98,Willem De Kooning. ,,1962,OCLC:217267406,"Allan Stone Gallery, Willem De Kooning",De Kooning
170,"De Kooning [for] Horn, Percussion, Piano, Violin, Violoncello : [1963].. ",,1963,OCLC:1423041809,Morton Feldman,De Kooning
157,De Kooning. ,,1963,UCSC:32106016797521,Morton Feldman,De Kooning
230,Gustav Klimt. Twenty-five Drawings,,1964,OCLC:1008136620,Gustav Klimt,Klimt
72,Willem de Kooning. ,,1965,UOM:39015041624720,"Willem De Kooning, Dore Ashton, Smith College. Museum of Art",De Kooning
281,"Gustav Klimt and Egon Schiele. Exhibition 65/1, February-April 1965",,1965,UOM:39015006624137,Solomon R. Guggenheim Museum,Klimt
217,Gustav Klimt. ,,1965,OCLC:1419335230,,Klimt
240,"Gustav Klimt. Paintings and Drawings : [exhibition], October-November 1965, Marlborough Fine Art Limited ... [et Al.].",,1966,UOM:39015028411422,"Gustav Klimt, Marlborough Fine Art Ltd",Klimt
104,De Kooning. Drawings,,1967,UVA:X030810127,Willem De Kooning,De Kooning
148,De Kooning; Drawings. ,,1968,UOM:39015007566907,Willem De Kooning,De Kooning
84,Willem de Kooning. An Exhibition Organized Under the Auspices of the International Council of the Museum of Modern Art,,1968,OCLC:1284557,"Thomas B. Hess, Willem De Kooning",De Kooning
155,"Six Painters: Mondrian, Guston, Kline, De Kooning, Pollock [and] Rothko. ",,1968,UOM:39015010991100,"University of St. Thomas (Houston, Tex.). Art Department",De Kooning
81,De Kooning; Recent Paintings. ,,1968,UCAL:B3287209,"Willem De Kooning, Thomas B. Hess, M. Knoedler & Co",De Kooning
109,De Kooning. ,,1969,OCLC:950182543,,De Kooning
90,Willem de Kooning. Disegni,,1969,OCLC:297153880,Willem De Kooning,De Kooning
152,"De Kooning, January 1968-March 1969. Exhibition M. Knoedler & Co., Inc., March 4-March 22, 1969",,1969,UCAL:B4116838,"M. Knoedler & Co, Thomas B. Hess",De Kooning
276,"Klimt. Drawings, October - November, 1970 : Kovler Gallery, Chicago",,1970,MINN:31951002219409Y,Gustav Klimt,Klimt
205,Gustav Klimt. Drawings and Paintings,,1970,UOM:39015043410979,"Gustav Klimt, Alice Strobl",Klimt
289,"Gustav Klimt, 1862-1918: Drawings. Exhibition March - April 1970, the Galerie St. Etienne, New York",,1970,UCSC:32106001453866,Gustav Klimt,Klimt
285,"Gustav Klimt, 1862-1918. Drawings",,1970,STANFORD:36105032006400,"Gustav Klimt, Galerie St. Etienne",Klimt
58,De Kooning. ,,1972,UOM:39015045652768,"Willem De Kooning, Gabriella Drudi",De Kooning
125,Willem de Kooning. ,,1973,OCLC:935599869,,De Kooning
158,"De Kooning. Drawings, Sculptures",,1974,OCLC:1087464322,"Philip Larson, Peter Schjeldahl",De Kooning
25,"American masters : the voice and the myth in modern art, Hopper, Davis, Pollock, de Kooning, Rothko, Rauschenberg, Wyeth, Cornell. ","New York : E. P. Dutton , 1982",1974,0525480005,,De Kooning
93,"Willem de Kooning, 1941-1959. ",,1974,OCLC:2055976,Willem De Kooning,De Kooning
97,Willem de Kooning. Drawings & Sculptures,,1974,OCLC:78840227,"Willem De Kooning, Walker Art Center",De Kooning
115,"De Kooning. Drawings, Sculptures : an Exhibition Organized by Walker Art Center [held At] Walker Art Center, Minneapolis, March 10-April 21, 1974 ... [et Al.]",Dutton Adult,1974,UOM:39015006749876,"Willem De Kooning, Philip Larson, Peter Schjeldahl",De Kooning
77,De Kooning. ,,1975,OCLC:963159077,,De Kooning
15,Gustav Klimt. ,"[Paris] : Seuil , 1975",1975,2020042754,,Klimt
215,Gustav Klimt. ,,1975,LCCN:75010965,Alessandra Comini,Klimt
1,"Art in Vienna, 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 1975",1975,0714816000,,Klimt
160,"Drawings by Five Abstract Expressionist Painters : Willem de Kooning, Arshile Gorky, Philip Guston, Franz Kline, Jackson Pollock [Exhibition] January 10-February 29, 1976. ",,1976,UOM:39015041096390,"Museum of Contemporary Art (Chicago, Ill.)",De Kooning
100,"The Sculptures of De Kooning with Related Paintings, Drawings, and Lithographs. ",,1977,0728701421,Willem De Kooning,De Kooning
86,"Gustav Klimt : der Beethovenfries, Geschichte, Funktion und Bedeutung. ","Salzburg : Residenz Verlag , cop. 1977",1977,370170175X,,Klimt
22,Gustav Klimt und die Wiener Jahrhundertwende. ,"Salzburg : Verl. Galerie Welz , 1977",1977,3853490654,,Klimt
133,L'opera completa di Klimt. ,,1978,PSU:000032538878,"Gustav Klimt, Johannes Dobai, Sergio Coradeschi",Klimt
78,Willem de Kooning in East Hampton. ,Guggenheim Museum,1978,UOM:39015012225143,"Willem De Kooning, Diane Waldman",De Kooning
76,"De Kooning, 1969-78. ","University of Northern Iowa, Department of Art",1978,UOM:39015009416572,"Willem De Kooning, Jack Cowart, Sanford Sivitz Shaman",De Kooning
112,Willem de Kooning. ,,1978,OCLC:1005883038,Harold Resenberg,De Kooning
