"work","title","publisher","date","uri","isbn"
"http://data.bnf.fr/ark:/12148/cb45692271m#about","Le rire de De Kooning","Bordeaux : Olympique , 2019","2019","https://catalogue.bnf.fr/ark:/12148/cb45692271m","978-2-9557550-6-8"
"http://data.bnf.fr/ark:/12148/cb45292173b#about","A way of living : the art of Willem De Kooning","London : Phaidon Press Limited , 2017","2014","https://catalogue.bnf.fr/ark:/12148/cb45292173b","0714845817"
"http://data.bnf.fr/ark:/12148/cb45292173b#about","A way of living : the art of Willem De Kooning","London : Phaidon Press Limited , 2017","2014","https://catalogue.bnf.fr/ark:/12148/cb45292173b","0714873160"
"http://data.bnf.fr/ark:/12148/cb45292173b#about","A way of living : the art of Willem De Kooning","London : Phaidon Press Limited , 2017","2014","https://catalogue.bnf.fr/ark:/12148/cb45292173b","9780714845814"
"http://data.bnf.fr/ark:/12148/cb45292173b#about","A way of living : the art of Willem De Kooning","London : Phaidon Press Limited , 2017","2014","https://catalogue.bnf.fr/ark:/12148/cb45292173b","9780714873169"
"http://data.bnf.fr/ark:/12148/cb45317929s#about","Hartung et les peintres lyriques : Schneider, Gottlieb, De Kooning, Winter, Degottex, Mathieu, Hantaï, Jaffe, Twombly, Frankenthaler, Polke, Traquandi, Oehlen, Wool, Zurstrassen, Von Heyl, Bradley, [exposition, Landerneau, Les Capucins, 11 décembre 2016-17 avril 2017]","Landerneau : Fonds Hélène & Édouard Leclerc pour la culture , DL 2016","2016","https://catalogue.bnf.fr/ark:/12148/cb45317929s","979-10-96209-00-2"
"http://data.bnf.fr/ark:/12148/cb37053892s#about","Willem de Kooning : drawing seeing-seeing drawing, [exhibition, the Drawing center, New York, October 31-December 19, 1998, the Addison gallery of American art, Phillips academy, Andover, Mass., January 16-March 28, 1999, Wexner center for the arts, the Ohio state university, Columbus, May 15-August 15, 1999]","New York : Arena , 1998","1998","https://catalogue.bnf.fr/ark:/12148/cb37053892s","0-9657280-8-0"
"http://data.bnf.fr/ark:/12148/cb47258002f#about","Les irascibles : Pollock, De Kooning, Rothko et les autres, roman","Paris : le Cherche midi , DL 2023","2023","https://catalogue.bnf.fr/ark:/12148/cb47258002f","978-2-7491-7670-3"
"http://data.bnf.fr/ark:/12148/cb40103400g#about","École de New York : expressionnisme abstrait américain, oeuvres sur papier, William Baziotes, Adolph Gottlieb, Hans Hofmann, Franz Kline, Willem de Kooning, Robert Motherwell, Jackson Pollock, Richard Pousette-Dart, Mark Rothko, David Smith, Jack Tworkov, [exposition], 8 décembre 2005-5 mars 2006, Galerie contemporaine du Musée d'art moderne et d'art contemporain, MAMAC, Nice","[Nice] : Nice musées , impr. 2005","2005","https://catalogue.bnf.fr/ark:/12148/cb40103400g","2-913548-69-5"
"http://data.bnf.fr/ark:/12148/cb41263375n#about","Action/abstraction : Pollock, de Kooning, and American art, 1940-1976, [exhibition, the Jewish museum, New York, May 4-September 21, 2008, Saint Louis art museum, October 19, 2008-January 11, 2009, Albright-Knox art gallery, Buffalo, N.Y., February 13-May 31, 2009]","New York : the Jewish museum , cop. 2008","2008","https://catalogue.bnf.fr/ark:/12148/cb41263375n","978-0-300-12215-2"
