artist,name,price,soldtime
Gustav Klimt,Vorgebeugt sitzende Aktfigur,17460,2014
Gustav Klimt,"Stehender Frauenakt Mit Erhobenem Linkem Bein, Die HÃ¤nde An Der Brust",22500,2014
Gustav Klimt,Nach Links Sitzender Halbakt,20000,2014
Gustav Klimt,Allegory of Agriculture,20000,2014
Gustav Klimt,MÃ¤dchenbrustbild Von Vorne Mit HÃ¤ubchen (Portrait of a Girl with a Hat),269117,2014
Gustav Klimt,Aktstudie einer TÃ¤ nzerin,21277,2014
Gustav Klimt,"Portrait of a Child with Flowers in her Hair, study of Hand and Foot",183565,2014
Gustav Klimt,Das Werk von Gustav Klimt,114000,2014
Gustav Klimt,"Frauenkopf Studie fÃ¼r die ""Unkeuschheit"" des Beethovenfrieses",51509,2013
Gustav Klimt,I Kunstausstellung der Vereinigung Bildender KÃ¼nstler Ãsterreichs Secession,111141,2013
Gustav Klimt,Sitzender MÃ¤dchenakt mit erhobenen Armen,19431,2013
Gustav Klimt,Sitzender Halbakt (Seated Half-nude),269000,2013
Gustav Klimt,"Studie Zu ""Die KÃ¼nste"" Aus Dem Beethoven Frieze (Study For ""The Arts"" From The Beethoven Frieze)",15000,2013
Gustav Klimt,Kunstausstellung / Secession (uncensored),47500,2013
Gustav Klimt,Kunstausstellung / secession (censored),18000,2013
Gustav Klimt,Gebeugter Akt,37844,2012
Gustav Klimt,"Vorgebeugt sitzende Aktfigur, teilweise verdeckt",62616,2012
Gustav Klimt,Nude leaning backwards,28766,2012
Gustav Klimt,Sitzende dicke Frau nach links,19534,2012
Gustav Klimt,"AufgestÃ¼tzt Liegende, links Wiederholung",35115,2012
Gustav Klimt,Zwei Liegende (Two Reclining Women),96095,2012
Gustav Klimt,Sitzend Nach Rechts Im Dreiviertelprofil (Seated Figure From The Right In Three-quarter Profile),27455,2012
Gustav Klimt,Frau im Lehnstuhl im Profil nach links,23752,2012
Gustav Klimt,Brustbild eines MÃ¤dchens im Profil,19940,2012
