"work","title","publisher","date","uri","isbn"
"http://data.bnf.fr/ark:/12148/cb45532401k#about","Klimt and Schiele : drawings from the Albertina Museum, Vienna, [exhibition, Museum of fine arts, Boston, from February 25 to May 28, 2018]","Boston, MA : Museum of Fine Arts, Boston : D.A.P./Distributed Art Publishers (Distributor)","2018","https://catalogue.bnf.fr/ark:/12148/cb45532401k","0878468528"
"http://data.bnf.fr/ark:/12148/cb45532401k#about","Klimt and Schiele : drawings from the Albertina Museum, Vienna, [exhibition, Museum of fine arts, Boston, from February 25 to May 28, 2018]","Boston, MA : Museum of Fine Arts, Boston : D.A.P./Distributed Art Publishers (Distributor)","2018","https://catalogue.bnf.fr/ark:/12148/cb45532401k","9780878468522"
"http://data.bnf.fr/ark:/12148/cb35356100b#about","Art in Vienna, 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries","London : Phaidon , 1975","1975","https://catalogue.bnf.fr/ark:/12148/cb35356100b","0-7148-1600-0"
"http://data.bnf.fr/ark:/12148/cb37494522j#about","Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries","London : Phaidon , 1993","1993","https://catalogue.bnf.fr/ark:/12148/cb37494522j","0-7148-1600-0"
"http://data.bnf.fr/ark:/12148/cb39124684p#about","Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries","London : Phaidon , 2001","2001","https://catalogue.bnf.fr/ark:/12148/cb39124684p","0-7148-2967-6"
"http://data.bnf.fr/ark:/12148/cb44406233p#about","Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries","London : Phaidon , 2015","2015","https://catalogue.bnf.fr/ark:/12148/cb44406233p","0714868787"
"http://data.bnf.fr/ark:/12148/cb44406233p#about","Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries","London : Phaidon , 2015","2015","https://catalogue.bnf.fr/ark:/12148/cb44406233p","9780714868783"
"http://data.bnf.fr/ark:/12148/cb39931954f#about","Gustav Klimt : papiers érotiques, [exposition, Paris, Musée Maillol, 9 mars-30 mai 2005]","[Paris] : Gallimard : Fondation Dina Vierny-Musée Maillol , 2005","2005","https://catalogue.bnf.fr/ark:/12148/cb39931954f","2-07-011805-3"
"http://data.bnf.fr/ark:/12148/cb39931954f#about","Gustav Klimt : papiers érotiques, [exposition, Paris, Musée Maillol, 9 mars-30 mai 2005]","[Paris] : Gallimard : Fondation Dina Vierny-Musée Maillol , 2005","2005","https://catalogue.bnf.fr/ark:/12148/cb39931954f","2-910826-41-4"
"http://data.bnf.fr/ark:/12148/cb34992499t#about","Le Nu et la norme : Klimt et Picasso en 1907","[Paris] : Gallimard , 1988","1988","https://catalogue.bnf.fr/ark:/12148/cb34992499t","2-07-011150-4"
"http://data.bnf.fr/ark:/12148/cb348721982#about","Klimt, ""Beethoven""","Genève : Skira ; [Paris] : Flammarion , 1986","1986","https://catalogue.bnf.fr/ark:/12148/cb348721982","2-605-00078-8"
"http://data.bnf.fr/ark:/12148/cb40039578k#about","Gustav Klimt, Oskar Kokoschka, Egon Schiele : un monde crépusculaire","Courbevoie : ACR éd. , DL 2005","2005","https://catalogue.bnf.fr/ark:/12148/cb40039578k","2-86770-175-9"
"http://data.bnf.fr/ark:/12148/cb410599129#about","Il simbolismo : da Moreau a Gauguin a Klimt, mostra, Ferrara, Ferrara palazzo dei Diamanti, 18 febbraio-20 maggio 2007, Roma, Roma galleria nazionale d'arte moderna, 7 giugno-16 settembre 2007","Ferrara : Ferrara arte , impr. 2007","2007","https://catalogue.bnf.fr/ark:/12148/cb410599129","88-89793-06-6"
"http://data.bnf.fr/ark:/12148/cb45640630m#about","Klimt lost","Wien : Czernin Verlag","2018","https://catalogue.bnf.fr/ark:/12148/cb45640630m","3707606414"
