title,Subtitle,publisher,date,isbn,Authors
Le rire de De Kooning,,"Bordeaux : Olympique , 2019",2019,9782955755068,
A way of living : the art of Willem De Kooning,,"London : Phaidon Press Limited , 2017",2014,0714845817,
"Hartung et les peintres lyriques : Schneider, Gottlieb, De Kooning, Winter, Degottex, Mathieu, Hantaï, Jaffe, Twombly, Frankenthaler, Polke, Traquandi, Oehlen, Wool, Zurstrassen, Von Heyl, Bradley, [exposition, Landerneau, Les Capucins, 11 décembre 2016-17 avril 2017]",,"Landerneau : Fonds Hélène & Édouard Leclerc pour la culture , DL 2016",2016,9791096209002,
"Willem de Kooning : drawing seeing-seeing drawing, [exhibition, the Drawing center, New York, October 31-December 19, 1998, the Addison gallery of American art, Phillips academy, Andover, Mass., January 16-March 28, 1999, Wexner center for the arts, the Ohio state university, Columbus, May 15-August 15, 1999]",,"New York : Arena , 1998",1998,0965728080,
"Les irascibles : Pollock, De Kooning, Rothko et les autres, roman",,"Paris : le Cherche midi , DL 2023",2023,9782749176703,
"École de New York : expressionnisme abstrait américain, oeuvres sur papier, William Baziotes, Adolph Gottlieb, Hans Hofmann, Franz Kline, Willem de Kooning, Robert Motherwell, Jackson Pollock, Richard Pousette-Dart, Mark Rothko, David Smith, Jack Tworkov, [exposition], 8 décembre 2005-5 mars 2006, Galerie contemporaine du Musée d'art moderne et d'art contemporain, MAMAC, Nice",,"[Nice] : Nice musées , impr. 2005",2005,2913548695,
"Action/abstraction : Pollock, de Kooning, and American art, 1940-1976, [exhibition, the Jewish museum, New York, May 4-September 21, 2008, Saint Louis art museum, October 19, 2008-January 11, 2009, Albright-Knox art gallery, Buffalo, N.Y., February 13-May 31, 2009]",,"New York : the Jewish museum , cop. 2008",2008,9780300122152,
"Burri : lo spazio di materia - tra Europa e USA, Afro, Andre, Arman, Beuys, Calder, Calzolari, Capograssi, Castellani, César, Chamberlain, Christo, Colla, De Kooning, Dubuffet, Fautrier, Fontana, Hartung, Johns, Kiefer, Klein, Kounellis, Leoncillo, Lewitt, Lo Savio, Mannucci, Manzoni, Marca-Relli, Matta, Mattiacci, Miró, Morris, Motherwell, Nevelson, Nicholson, Pascal, Piene, Pistoletto, Pollock, Rauschenberg, Rotella, Scarpitta, Scialoja, Serra, Sonnier, Soulages, Tàpies, Tinguely, Twombly, Uncini, Wols, [mostra, Fondazione Palazzo Albizzini Collezione Burri, Ex seccatoi del tabacco, Città del Castello, 24 settembre 2016-06 gennaio 2017]",,"Città di Castello : Fondazione Palazzo Albizzini Collezione Burri , 2016",2016,8894063984,
"Willem De Kooning : the late paintings, the 1980s, [exhibition, San Francisco museum of modern art, 3 October 1995-7 January 1996, Walker art center, Minneapolis, 3 February-8 May 1996... Museum of modern art, New York, 22 January-29 April 1997]",,"San Francisco : San Francisco museum of modern art , 1995",1995,0935640479,
Willem de Kooning,,"Paris : La Martinière , 1999",1999,2732425079,
"American vanguards : Graham, Davis, Gorky, De Kooning, and their circle, 1927-1942, [exhibition, Neuberger museum of art, Purchase, N.Y., January 29 - April 28, 2012, Amon Carter museum of American art, Fort Worth, Tex., June 9 - August 19, 2012, Addison gallery of American art, Andover, Mass., September 21 - December 31, 2012]",,"Andover (Mass.) : Addison gallery of American art ; New Haven (Conn.) ; London : Yale university press , cop. 2011",2011,0300121679,
"De Kooning, vite",,"Paris : Ed. de la Différence , 1988",1988,2729102701,
"De Kooning, vite",,"Paris : Éd. de la Différence , DL 2007",2007,9782729117054,
"The impact of Chaim Soutine (1893-1943) : de Kooning, Pollock, Dubuffet, Bacon, [publ. on the occasion of the exhibition, ""the impact of Chaim Soutine"", Galerie Gmurzynska, Cologne, November 2 - December 15, 2001]",,"Ostfildern-Ruit : Hatje Cantz , cop. 2002",2002,3775791035,
Between sense and De Kooning,,"London : Reaktion books , cop. 2011",2011,9781861898531,
Willem de Kooning nonstop : cherchez la femme,,"Chicago : London : The University of Chicago press , 2015",2015,022626744X,
"Willem De Kooning : Whitney museum of American art, New York, 15 décembre 1983-26 février 1984 ; Akademie der Künste, Berlin, 11 mars-29 avril 1984, Centre Georges-Pompidou, Musée national d'art moderne, [Paris], 28 juin-24 septembre 1984",,"Paris : Centre Georges-Pompidou , 1984",1984,2858502552,
"Willem de Kooning : Retrospektive, Zeichnungen, Gemälde, Skulpturen, [Ausstellung, Whitney museum of American art, New York, 15. Dezember 1983 - 26. Februar 1984, Akademie der Künste, Berlin, 11. März - 6. Mai 1984, Musée national d'art moderne, Centre Georges Pompidou, Paris, 26. Juni - 24. September 1984]",,"München : Prestel , cop. 1984",1984,3791306596,
"Willem de Kooning : drawings, paintings, sculpture, New York, Berlin, Paris, [two exhibitions at the Whitney museum of American art, New York : ""The drawings of Willem de Kooning"", December 7, 1983-February 19, 1984 and ""Willem de Kooning retrospective exhibition"", December 15, 1983-February 26, 1984]",,"New York : Whitney museum of American art ; Munich : Prestel-Verl. ; New York ; London : W. W. Norton , cop. 1983",1983,0393018407,
"Willem De Kooning : late paintings, [mostra, Roma, Museo Carlo Bilotti, 20 ottobre 2006-11 febbraio 2007]",,"Milano : Electa , cop. 2006",2006,8837049404,
L'oeuvre gravé de Willem De Kooning 1 : catalogue raisonné,,"Paris : B. Lebon , 1991",1991,2876880148,
"Willem De Kooning, Zao Wou-Ki : [exposition Lévy Gorvy, New York, January 18 - March 11, 2017]",,New York : Lévy Gorvy,2017,1944379126,
Willem de Kooning : the artist's materials,,"Los Angeles : Getty conservation institute , cop. 2010",2010,160606021X,
"Willem De Kooning : paintings, [exhibition, National gallery of art, Washington, 8 May-5 September 1994, the Metropolitan museum of art, New York, 11 October 1994-8 January 1995, Tate gallery, London, 15 February-7 May 1995]",,"Washington : National gallery of art ; New Haven ; London : Yale university press , 1994",1994,0894682040,
"De Kooning paintings : 1960-1980, Kunstmuseum Basel, [16 September 2005 - 21 Januar 2006]",,"Ostfildern : Hatje Cantz , cop. 2005",2005,3775716297,
"American masters : the voice and the myth in modern art, Hopper, Davis, Pollock, de Kooning, Rothko, Rauschenberg, Wyeth, Cornell",,"New York : E. P. Dutton , 1982",1974,0525480005,
"De Kooning : a retrospective, [exhibition, Museum of modern art, New York, September 18, 2011-January 9, 2012]",,"New York : Museum of modern art , 2011",2011,9780500093634,
A generous vision : the creative life of Elaine de Kooning,,"Oxford : Oxford university press , 2017",2017,0190498471,
"Abstract expressionist women painters : an annotated bibliography, Elaine de Kooning, Helen Frankenthaler, Grace Hartigan, Lee Krasner, Joan Mitchell, Ethel Schwabacher",,"Lanham (Md.) ; London : the Scarecrow press , cop. 1996",1996,0810829983,
"Willem De Kooning : Nordatlantens ljus, [utställning], Stedelijk museum, Amsterdam, 11.5-3.7 1983, Louisiana museum of modern art, Humlebaek, 15.7-4.9 1983, Moderna museet, Stockholm, 17.9-30.10 1983",,"Stockholm : Moderna museet , 1984",1984,9171002367,
Willem de Kooning : from the Hirshhorn museum collection,,"New York : Rizzoli international ; Washington : Hirshhorn museum and sculpture garden, Smithsonian institution , 1993",1993,0847817695,
"Willem de Kooning, recent paintings, 1983-1986 : [exhibition held 21 November 1986 to 14 January 1987 at the Anthony d'Offay gallery, London]",,"London : Anthony d'Offay gallery , 1986",1986,094756408X,
"Deadline : Martin Kippenberger, Absalon, Hans Hartung, James Lee Byars, Felix Gonzalez-Torres, Joan Mitchell, Robert Mapplethorpe, Chen Zhen, Gilles Aillaud, Willem de Kooning, Hannah Villiger, Jörg Immendorff, [exposition, Musée d'art moderne de la Ville de Paris, 16 octobre 2009-10 janvier 2010]",,"Paris : Musée d'art moderne de la Ville de Paris : Paris musées , impr. 2009",2009,9782759601080,
"Pintura al desnudo : Picasso, Dubuffet, De Kooning, Bacon, Saura, [exposición, Bilbao, Museo de bellas artes] del 11 de junio al 19 de agosto de 2001",,"Bilbao : Museo de bellas artes de Bilbao = Bilboko arte eder museoa , DL 2001",2001,8487184596,
Willem de Kooning : reflections in the studio,,"New York : H.N. Abrams , cop. 2000",2000,0810945606,
Et maintenant je veux parler de Willem de Kooning,,"Paris : l'Échoppe , 1996",1996,2840680688,
"De Kooning : petit journal de l'exposition, 28 juin-24 septembre 1984... Musée national d'art moderne, Centre Georges Pompidou [Paris]",,"Paris : Centre Georges Pompidou , 1984",1984,285850234X,
"Guerrero, De Kooning : la sabiduría del color, [exposición]... Centro José Guerrero, Granada, del 8 de marzo al 27 de mayo de 2001",,"Granada : Centro José Guerrero , 2001",2001,8478072942,
"Chaïm Soutine, Willem de Kooning, La peinture incarnée : [exposition, Paris, Musée de l'Orangerie, 15 septembre 2021-10 janvier 2022]",,"Paris : Musée d'Orsay : Hazan , DL 2021",2021,9782354333331,
"Von Dürer bis de Kooning : 100 Meisterzeichnungen, die Staatliche graphische Sammlung München zu Gast in New York, [Ausstellung, New York, Morgan library & museum, 12. Oktober 2012-6. Januar 2013]",,"München : Hirmer , cop. 2012",2012,3777455210,
"Willem De Kooning : de late schilderijen, 1981-1987, San Francisco museum of modern art, 3 oktober 1995-7 januari 1996, Walker art center, Minneapolis, 3 februari-8 mei 1996, Kunstmuseum, Bonn, 25 juni-18 augustus  1996, Museum Boijmans Van Beuningen, Rotterdam, 9 september-1 december 1996, Museum of modern art, New York, 22 januari-29 april 1997",,"Rotterdam : Boijmans Van Beuningen museum , 1996",1996,9069181673,
"The New York schools of music and visual arts : John Cage, Morton Feldman, Edgard Varèse, Willem de Kooning, Jasper Johns, Robert Rauschenberg",,"New York, N.Y. ; London : Routledge , 2002",2002,0415936942,
Maskierung der Malerei : Jasper Johns nach Willem de Kooning,,"München : W. Fink , cop. 2008",2008,3770546679,
"Willem de Kooning : tracing the figure, [exhibition, Los Angeles, Museum of contemporary art, 10 February-26 April 2002, San Francisco, San Francisco museum of modern art, 22 June-8 September 2002, Washington, National gallery of art, 29 September 2002-5 January 2003]",,"Los Angeles : Museum of contemporary art ; Princeton ; Oxord : Princeton university press , 2002",2002,069109618X,
"Willem de Kooning : [exposición] Institut valencià d'art modern, Valencia, 6-IX/2-XII 2001, Fundación la Caixa, Madrid, 20-XII 2001/25-III 2002",,"Valencia : Institut valencià d'art modern ; Madrid : Fundacio la Caixa , 2001",2001,8448228626,
Willem De Kooning,,"Paris : l'Échoppe , 1994",1994,2840680297,
