title,publisher,date,isbn,Authors
"Klimt and Schiele : drawings from the Albertina Museum, Vienna, [exhibition, Museum of fine arts, Boston, from February 25 to May 28, 2018]. ","Boston, MA : Museum of Fine Arts, Boston : D.A.P./Distributed Art Publishers (Distributor)",2018,0878468528,
"Art in Vienna, 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 1975",1975,0714816000,
"Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 1993",1993,0714816000,
"Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 2001",2001,0714829676,
"Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 2015",2015,0714868787,
"Gustav Klimt : papiers érotiques, [exposition, Paris, Musée Maillol, 9 mars-30 mai 2005]. ","[Paris] : Gallimard : Fondation Dina Vierny-Musée Maillol , 2005",2005,2070118053,
Le Nu et la norme : Klimt et Picasso en 1907. ,"[Paris] : Gallimard , 1988",1988,2070111504,
"Klimt, ""Beethoven"". ","Genève : Skira ; [Paris] : Flammarion , 1986",1986,2605000788,
"Gustav Klimt, Oskar Kokoschka, Egon Schiele : un monde crépusculaire. ","Courbevoie : ACR éd. , DL 2005",2005,2867701759,
"Il simbolismo : da Moreau a Gauguin a Klimt, mostra, Ferrara, Ferrara palazzo dei Diamanti, 18 febbraio-20 maggio 2007, Roma, Roma galleria nazionale d'arte moderna, 7 giugno-16 settembre 2007. ","Ferrara : Ferrara arte , impr. 2007",2007,8889793066,
Klimt lost. ,Wien : Czernin Verlag,2018,3707606414,
"Gustav Klimt, tout l'œuvre peint. ","Köln ; [Paris] : Taschen , cop. 2017",2017,9783836566605,
"Heiliger Frühling : Gustav Klimt und die Anfänge der Wiener Secession 1895-1905, mit 444 Abbildungen, Davon 357 in Farbe, [Ausstellung, Graphisch Sammlung Albertina, Wien, 16. Oktober 1998 bis 10. Jänner 1999]. ","Wien ; München : C. Brandstätter , 1999",1999,3854478569,
"Klimt e i maestri ""segreti"" della Ricci Oddi : mostra, Piacenza, Galleria d'arte moderna Ricci Oddi, 3 luglio 2021 - 9 gennaio 2022. ","Piacenza : Galleria d'arte moderna Ricci Oddi ; Busto Arsizio (VA) : Nomos edizioni , impr. 2021",2021,9791259580344,
Fleurs cueillies pour rien : Gustav Klimt. ,"[Charenton] : Flohic , 1999",1999,2842340639,
Gustav Klimt. ,"[Paris] : Seuil , 1975",1975,2020042754,
Gustav Klimt : die Sammlung im Leopold Museum. ,Ostfildern : Hatje Cantz,2013,3775737448,
Tout l'oeuvre peint de Klimt. ,"[Paris] : Flammarion , 1983",1983,2080112201,
"Klimt, Kokoschka, Schiele : dall'art nouveau all'espressionismo, [mostra, Roma, Complesso di Vittoriano, 6 ottobre 2001 - 3 febbraio 2002] / [Jane Kallir,...]. ","Milano : Mazzotta , 2001",2001,8820215020,
Gustav Klimt. ,"Paris : Hazan jeunesse , DL 2021",2021,9782754112352,
Dans l'univers de Klimt. ,"Paris : Belem éd. , DL 2005",2005,2915577447,
"Vienna 1900 : Klimt, Schiele, Moser, Kokoschka, [exhibition], Galeries nationales du Grand Palais, Paris, 3 October 2005-23 January 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,271185003X,
Gustav Klimt und die Wiener Jahrhundertwende. ,"Salzburg : Verl. Galerie Welz , 1977",1977,3853490654,
Nach Klimt : Schriften zur Kunst in Österreich. ,"Salzburg : Verl. Galerie Welz , cop. 1979",1979,3853490743,
"Klimt : la secessione e l'Italia, [mostra al Palazzo Braschi, Rome, dal 26 Ottobre, 2021- 22  Marzo 2022]. ","Milano : Skira , 2021",2021,8857246574,
"De la scène au tableau : David, Füssli, Klimt, Moreau, Lautrec, Degas, Vuillard, [exposition, Marseille, Musée Cantini, 6 octobre 2009-3 janvier 2010, Rovereto, Museo di arte moderna e contemporanea, 6 février-23 mai 2010, Toronto, Musée des beaux-arts de l'Ontario, 19 juin-26 septembre 2010]. ","Paris : Skira-Flammarion ; [Marseille] : MM ; [Rovereto] : MART [etc.] , DL 2009",2009,9782081236912,
"Vienna 1900 : Klimt, Schiele, and their times, a total work of art, [exhibition, Fondation Beyeler, Basel, September 26, 2010 - January 16, 2011]. ","Ostfildern (Allemagne) : Hatje Cantz , cop. 2010",2010,3775726853,
Le petit Klimt. ,"Bruxelles : Kate' art édition ; Paris : Réunion des musées nationaux , 2005",2005,2930382104,
Klimt. ,"[Paris] : Hazan , 1992",1992,2850252921,
"Gustav Klimt, 1862-1918. ","Köln ; [Paris] : B. Taschen , cop. 1993",1993,3822896713,
"Gustav Klimt, 1862-1918. ","Köln ; London ; Paris [etc.] : Taschen , cop. 2000",2000,3822859400,
"Gustav Klimt, 1862-1918. ","Paris : ""Le Monde"" ; Köln : Taschen , cop. 2005",2005,3822846570,
"Gustav Klimt, 1862-1918 : le monde comme une forme féminine. ","Köln ; Paris : Taschen , cop. 2011",2011,9783836531450,
"Gustav Klimt, 1862-1918 : le monde comme une forme féminine. ","Köln ; [Paris] : Taschen , cop. 2016",2016,9783836558068,
La vie et l'oeuvre de Klimt. ,"[Nîmes] : Livre club , [1996]",1996,2842160363,
Joseph Klimt. ,"Saint-Denis : Édilivre , impr. 2013",2013,9782332654427,
La moquette de Klimt : poèmes. ,"Paris : Non lieu , DL 2012",2012,9782352701330,
"Klimt et Vienne, un siècle d'or et de couleurs : Carrières de lumières, les Baux-de-Provence. ","[Issy-les-Moulineaux] : ""Beaux-arts"" éd.-[TTM éd.] , DL 2014",2014,9791020400697,
Klimt. ,"[Paris] : Gallimard , DL 2017",2017,9782070462704,
Gustav Klimt. ,"Paris : Larousse , DL 2019",2019,9782035975935,
Gustav Klimt : vers un renouvellement de la modernité. ,"Paris : La Martinière , 2001",2001,2732427829,
"""Ver sacrum"" : la revue de la Sécession viennoise, 1898-1903, Gustav Klimt, Koloman Moser, Otto Wagner, Alfred Roller, Max Kurzweil, Joseph M. Olbrich, Josef Hoffmann. ","Paris : Skira , DL 2018",2018,9782370740960,
"À fleur de peau : Vienne 1900, de Klimt à Schiele et Kokoschka, [exposition, Lausanne, Musée cantonal des beaux-arts de Lausanne, 14 février-24 mai 2020]. ","Paris : Hazan ; Lausanne : Musée cantonal des beaux-arts , DL 2020",2020,9782754111386,
"Gustav Klimt : disegni dalla collezione Sabarsky, [mostra, Torino, Pinacoteca Giovanni e Marella Agnelli, 29 gennaio-25 aprile 2004]. ","Torino : Ed. GAM , impr. 2004",2004,8888103295,
"Gustav Klimt, Egon Schiele und die Familie Lederer. ","Bern : Galerie Kornfeld , 1987",1987,3857730161,
Gustav Klimt : dessins érotiques. ,"Paris : Chêne , 1979",1979,2851082418,
Gustav Klimt. ,"Toulouse : Milan , DL 2019",2019,9782408012984,
"Mélanie-A Turner-Klimt : ou la désespérance de l'art, kit théâtral. ","Paris : les Éditions Chapitre.com , DL 2015",2015,9791029002045,
"L'abbraccio di Vienna : Klimt, Schiele e i capolavori del Belvedere, [mostra, Como, Villa Olmo, 15 marzo - 20 luglio 2008]. ","Cinisello Balsamo (Milano) : Silvana , 2008",2008,9788836610846,
Klimt : 50 chefs-d'oeuvre. ,"[Vanves] : Hazan , DL 2020",2020,9782754111638,
Gustav Klimt : l'oeuvre peint. ,"Paris : Citadelles et Mazenod , impr. 2008",2008,9782850882524,
"Gustav Klimt : painting, design and modern life, [exhibition, Tate Liverpool, 30 May - 31 August 2008]. ","London : Tate gallery publishing , 2008",2008,9781854377357,
"De la scène au tableau : David, Füssli, Klimt, Moreau, Lautrec, Degas, Vuillard..., [exposition, Marseille, Musée Cantini, 6 octobre 2009-3 janvier 2010, Rovereto, Museo di arte moderna e contemporanea, 6 février-23 mai 2010 , Toronto, Musée des beaux-arts de l'Ontario, 19 juin-26 septembre 2010]. ","Paris : Skira-Flammarion ; [Marseille] : MM ; [Rovereto] : MART [etc.] , DL 2009",2009,9782081229440,
